Province,City,Branch,Manager,Latitude,Longitude,Address,MapUrl
Kwazulu-Natal,Vryheid,Mason Street,Unknown,-27.76427,30.7987213,SHOP 24A Mason Street  Vryheid,https://goo.gl/maps/s6dffU8qixy
Kwazulu-Natal,Umzinto,Umzinto Shopping centre,Unknown,-30.30956,30.6608833,Shop No B5b Umzinto Shopping centre,https://goo.gl/maps/W3pzwZx9RvD2
Limpopo,Mokopane-Mokopane,Mokopane,Unknown,-24.1798809,29.0106197,Shop no 1 52 Nelson Mandela Rd Mokopane (Potgietersrus) 0601 LP,https://goo.gl/maps/EdLCjQpXAX42
Limpopo,Polokwane (Pietersburg)-Paledi Mall,Paledi Mall,Unknown,-23.8890864,29.7012342,Shop No 06A R71 Tzaneen Road Polokwane (Mankweng) Limpopo,https://goo.gl/maps/dzfurngDmFL2
Limpopo,Polokwane (Pietersburg)-Polokwane,Polokwane,Unknown,-23.9072551,29.4502413,Shop 72 Landdros Mare Street Polokwane 0783 LP,https://goo.gl/maps/wSpdKtMLH3u
Limpopo,Makhado-Makhado,Makhado,Unknown,-23.0391488,29.9074492,Shop 7 105 Burger Str Louis Trichardt Shoprite Centre Makhado 0920 LP,https://goo.gl/maps/mv95dgGMJ3M2
Mpumalanga,Embalenhle-Mall@Emba,Mall@Emba,Unknown,-26.5458432,29.0699552,Shop no 49 Cnr Old Provincial & Embalenhle road Embalenhle 2285 GP,https://goo.gl/maps/qnVMMnGrHqw
Mpumalanga,Bushbuckridge -Bushbuckridge Complex,Bushbuckridge Complex,Unknown,-24.8351594,31.0682577,Shop 38 Twin City Cnr Main & Graskop Streets Bushbuckridge MP,https://goo.gl/maps/RgKZFChexe32
Mpumalanga,Hazyview-HazyView,HazyView,Unknown,-25.0443123,31.130088,Shop 314 Corner R536 and R40 Blue Haze Mall Hazyview 1242 MP,https://goo.gl/maps/LSUUJFyEDdt
Mpumalanga,Ermelo,Ermelo Mall,Unknown,-26.51916,29.9857613,50A de Jager Street Ermelo Mall Mpumalanga,https://goo.gl/maps/DR2pi4WgDwQ2
